id,priority,area,title,evidence_ref,owner_decision_required,proposed_fix,wave,status
MC-03,P0,AGOS Mobility Cloud,Route-agnostic hard-coded pricing (private EUR96 flat; shared EUR42/pax; fixed net offers +12%) with no AYT/GZP or distance rule,evidence/agent_mobility_cloud.md P0-4,YES (pricing table source),Consume the versioned fact table (document 08 s5); remove hard-coded prices,W6/W8,OPEN
MC-04,P0,AGOS Mobility Cloud,Reference ids derived from last 6 ms digits with UNIQUE constraint cause collisions -> 500; ad-hoc CREATE TABLE per route with differing definitions; hard-coded past date fallback,evidence/agent_mobility_cloud.md P0-6 P0-10 P0-11,NO,ULID/UUID references; apply drizzle migrations at deploy; remove date fallback,W8,OPEN
INF-03,P1,Infrastructure,N8N_BASIC_AUTH_* variables are ignored by n8n 1.x (documented guard is a no-op),05 s4,NO,Remove vars; enforce n8n user management + MFA; Cloudflare Access on editor paths,W3,OPEN
INF-04,P1,Infrastructure,n8n image floating tag n8nio/n8n:1 against High advisories fixed in 1.123.73 (bulletin 2026-08-19); running version unverified,05 s4; 10 E7,NO,Capture version; pin digest >= patched; upgrade with backup/rollback,W0/W3,OPEN
INF-05,P1,Infrastructure,No backup automation monitoring alerting log rotation or restore drill; tests/ empty; install.sh placeholder,05 s4,NO,Nightly encrypted off-host backups; uptime probe; metrics; restore drill monthly,W3,OPEN
INF-06,P1,Infrastructure,IaC drift: task names Postgres+Payload+WordPress as shared services but IaC has Postgres for n8n only and no Payload; status doc stale,05 s4; 01 s3,YES (list of real services),Capture docker ps / compose config from host; reconcile IaC; update status doc,W0,OPEN
N8N-02,P1,Automation,SLA escalation fires at ~15 min for 100% of sampled bookings (driver status never updated) -> alert is uninformative,05 s5; 10 E4,YES (SLA thresholds),Retune to business-hours 15 min / night 45 min; second tier 60 min; write escalated_at back to WP,W3,OPEN
N8N-03,P1,Automation,19 WP request mails vs 17 n8n alerts 2026-08-07..09-01 with >=2 mismatches,05 s5; 10 E4,NO,Reconcile execution log vs post ids; add sender-side retry and failed badge,W0/W3,OPEN
N8N-04,P1,Automation,Ops/Admin links render corrupted (post5815&action...) consistent with quoted-printable '=' corruption (verify in mail client),05 s5; 10 E4,NO,Send HTML/UTF-8 with proper encoding or URL-encode; verify in two clients,W3,OPEN
N8N-05,P1,Automation/Privacy,Full customer PII in WP request mail to shared inboxes; n8n execution retention unverified; no retention statement,05 s5,YES (retention period),Redact request mail to reference + link; set EXECUTIONS_DATA_* pruning; add KVKK/RODO retention text,W3,OPEN
N8N-06,P1,Automation,n8n sends from a personal Gmail account; Brevo path shows new-IP alerts and inactive keys; documented delivery runtime not the live one,05 s5; 10 E7,YES (sender identity),Use a domain mailbox or Brevo with SPF/DKIM; retire personal Gmail credential,W3,OPEN
N8N-07,P1,Automation,No HMAC signature replay protection dead-letter or supplier timeout/fallback design exists in the AGOS repo; idempotency spec-only,evidence/agent_agos_repo.md s5.2,NO,Implement document 06 s5-s6 contract on staging,W3,OPEN
ALA-05,P1,Alanya UX,Shuttle seat selection still live ('select exactly 1 seat(s)') contrary to owner decision,04 s7; evidence/agent_github_external.md 2A(f),NO (decided),Remove UI; keep capacity validation server-side,W2,OPEN
ALA-06,P1,Alanya UX,Email required-ness unverified; owner wants optional with CLE semantics,04 s7,NO (decided),Make optional; test CLE with/without email; ops notification independent of email,W2,OPEN
ALA-07,P1,Alanya pricing,Split pricing authority: three 'from' prices for AYT-Alanya (77/80/81.36); shuttle tiers 3-6 unevidenced; AYT<->GZP ban unevidenced; private-other formula dead floor (base 50 vs 40?),04 s3; PR #1 record,YES (0.3 0.4 decisions),Server-side rule v2 with full table; single fact table; site copy regenerated from it,W2,OPEN
ALA-08,P1,Alanya facts,AYT-Alanya distance/duration triple (127 km/76 min; 135 km/1.5-2 h; engine 133.4 km),04 s4,YES (canonical value),Publish one value from the fact table; regenerate FAQ and guide pages,W1,OPEN
ALA-09,P1,Alanya ops,SLA/ops-link/reconciliation issues (see N8N-02..04),04 s5,NO,See W3,W3,OPEN
ALA-10,P1,Alanya security,Public form write paths (3x nopriv AJAX) and voucher/confirmation public routes lack validation/idempotency evidence (RC5 Security HOLD),04 s9; Drive RC5 summary,NO,Nonce + idempotency token + rate limit; dynamic test on staging,W2,OPEN
ALA-11,P1,Alanya coverage,384 of 587 money pages render no booking form; 2 legacy c6; 192 template-injected agsc-v6,04 s8; PR #1 matrix,YES (batch GO),Coverage fill B1..B5 with DOM verification; template unification separate GO,W4,OPEN
ALA-12,P1,Alanya SEO,Canonical hygiene: www/non-www both indexed; slash variants; -2 slug; ?lang=tr; >=6 same-intent URLs; DE root vs /nachrichten/ duplicates,04 s8,YES (canonical owners),Redirect map + canonical owner matrix apply sprint (D-015),W4,OPEN
ALA-13,P1,Alanya analytics,GA4/GTM state undocumented; no measurement baseline; consent mode unknown,04 s5,YES (analytics policy),Discovery then consent-mode GA4 with dataLayer events booking_started/submitted,W2/W4,OPEN
ALA-14,P1,Alanya integrations,Only a Google Maps Demo Key evidenced (2026-07-28); Places Autocomplete deprecation warning in SEL-122; no restricted production key,04 s9; 10 E7,YES (Cloud project + key),Create restricted key (HTTP referrer for JS; IP for server); migrate to Places API (New),W2,OPEN
AGOS-01,P1,AGOS repo,agcos-core cannot import: src/agcos/proof/ swallowed by .gitignore 'proof/'; 19/104 tests fail at HEAD,evidence/agent_agos_repo.md s7 s9.1,NO,Add negation rule !agcos-core/src/agcos/proof/ and commit package; CI test job,W0,OPEN
AGOS-02,P1,AGOS repo,SEL-121 live mutation (pages 34004 33975) rollback artefacts git-ignored and Owner GO text not stored; decision templates still say HOLD,evidence/agent_agos_repo.md s3.2 s9.3,YES (GO record),Store GO text + rollback raw files (no PII) in private repo; update templates,W0,OPEN
AGOS-03,P1,AGOS repo,PII committed (personal email + unmasked phone) in media auditor workflow JSON; workflow targets production host,evidence/agent_agos_repo.md s5.3 s9.4-5,NO,Mask values; move host to env placeholder; history rewrite decision (private repo),W0,OPEN
AGOS-04,P1,AGOS repo,Master status stale vs proof index (RC3/RC4/RC5 freezes and Hetzner rehearsals not reflected); 115 indexed documents absent from tree; review not independent,evidence/agent_agos_repo.md s9.6 s9.8,NO,Re-freeze master status; promote or delist missing docs; enable branch protection,W0,OPEN
SUL-04,P1,Sultan ops,Third-party listing says delivery unavailable; delivery fee/minimum order exist only on Pyszne.pl,03 s3,YES (delivery policy),First-party delivery zones/fees/minimum as source of truth,W5,OPEN
SUL-05,P1,Sultan platform,AGOS registry maps sultankebabkielce.com to a table-reservation portal with Alanya logo; which app answers the host is unverified,03 s3; evidence/agent_mobility_cloud.md s5,YES (which app owns the domain),Confirm Caddy/DNS target; remove or rebrand registry entry,W5,OPEN
SUL-06,P1,Sultan SEO,Domain absent from web search while Semrush sees 11 keywords (noindex/robots/challenge suspected),03 s3,NO,robots/sitemap/canonical check from allow-listed host,W5,OPEN
SUL-07,P1,Sultan runtime,Dynamic hours/delivery values require runtime verification; no config in git,03 s3,NO,Expose hours/delivery config in CMS with audit; verify on staging,W5,OPEN
MC-05,P1,AGOS Mobility Cloud,Webhook HMAC key = bearer token; replay possible within 300 s with new Idempotency-Key; flight delay re-applied cumulatively,evidence/agent_mobility_cloud.md P1-9,NO,Separate signing secret; sign idempotency key; nonce store; absolute pickup recompute,W8,OPEN
MC-06,P1,AGOS Mobility Cloud,No outbound notification provider; partner_webhook_outbox never drained; no cron triggers,evidence/agent_mobility_cloud.md P0-5 P1-17,YES (provider),Add provider + outbox worker with retry/DLQ,W8,OPEN
MC-07,P1,AGOS Mobility Cloud,html lang=tr for all domains; no robots/sitemap/canonical/hreflang; identical content across 6 domains; ?domain= host override; Sultan page reuses Alanya logo,evidence/agent_mobility_cloud.md P1-2..P1-4,NO,Per-manifest lang/metadata/canonical; disable ?domain override in prod,W6,OPEN
MC-08,P1,AGOS Mobility Cloud,Operator shuttle booking requires seat selection on a fixed 4x4 grid with fake occupancy and one seeded 2026-07-22 departure,evidence/agent_mobility_cloud.md P1-8,NO,Capacity-only model; departure calendar,W8,OPEN
MC-09,P1,AGOS Mobility Cloud,lint fails (2 errors); tsc fails (40 errors); tests are regex-only; no CI,evidence/mobility_cloud_*.log,NO,Fix lint/types; add worker types; behavioural tests; CI,W8,OPEN
MC-10,P1,AGOS Mobility Cloud,Service worker caches authenticated /api/* GET responses; consent text links to non-existent policies; RODO/KVKK absent,evidence/agent_mobility_cloud.md P1-12 P0-9,NO,Exclude /api from SW cache; publish policies,W8,OPEN
MD-01,P1,Multi-domain,Two competing factories (WordPress Central Hub spec vs AGOS domain registry) for the same domains,08 s1,YES (F0 decision),Decide A vs B; adopt manifest format,W6,OPEN
MD-02,P1,Multi-domain,No versioned fact table for distance/duration/price shared across domains,08 s5,NO,Build fact table; regenerate copy,W6,OPEN
MD-03,P1,Multi-domain,No artifact ledger / signed SHA256SUMS in any deploy path,08 s6; 01 s8,NO,CI pipeline per document 08 s6,W6,OPEN
ALA-15,P2,Alanya ops,Calendar and voucher handoffs documented but not live (0 calendar events),04 s5,NO,Enable after W2,W4,OPEN
ALA-16,P2,Alanya data,Flight number free text; no validation or provider,04 s5,YES (provider),Regex validation; provider later,W4,OPEN
ALA-17,P2,Alanya i18n,12 Scandinavian + AR pages outside EN/TR/DE/RU tiers; hreflang rebuild risk,04 s8,YES (AR/NO decision),Include in manifest hreflang graph or noindex,W4,OPEN
ALA-18,P2,Alanya SEO,Literal markdown asterisks in an indexed title; inconsistent site-name suffixes,04 s8,NO,Fix Rank Math titles,W4,OPEN
SUL-08,P2,Sultan SEO,Brand naming drift (Kielce / & Pizza / Pizza Kebab) and a same-name competitor at another address; NAP consistency,03 s3,YES (brand name),Single NAP across GBP marketplaces site,W5,OPEN
SUL-09,P2,Sultan automation,Order notification must not reuse the Alanya n8n Gmail path,03 s3,NO,Family-core notification design (document 08),W5,OPEN
INF-07,P2,Infrastructure,Runbook/Caddyfile mismatches (n8n:5678 vs agos-n8n:5678; sprint-03 'no TLS' vs Caddyfile),05 s4,NO,Update docs,W3,OPEN
INF-08,P2,Infrastructure,Portainer on 9443 documented as public,05 s4,NO,Behind Cloudflare Access/VPN,W3,OPEN
INF-09,P2,Infrastructure,Staging WordPress pinned 6.8.1 with auto-updates disabled and no update runbook,05 s4,NO,Update runbook aligned to live version,W7,OPEN
AGOS-05,P2,AGOS repo,Hero HTML mock-up has no form/submit/email/seat/pricing and hotlinks Unsplash images without rights note; passenger max 60,evidence/agent_agos_repo.md s4 s9.13,NO,Mark as mock-up; replace images,W2,OPEN
AGOS-06,P2,AGOS repo,Hard-coded Mac paths in governance and rollback notes; proof templates leave BACKUP_SHA256 blank,evidence/agent_agos_repo.md s9.20-21,NO,Portable paths; mandatory checksums,W0,OPEN
MC-11,P2,AGOS Mobility Cloud,Demo seeds and hard-coded Wi-Fi passwords in source; stale vinext-starter README; unused Drizzle client; dead Postgres DDL,evidence/agent_mobility_cloud.md P2-1..P2-7,NO,Cleanup,W8,OPEN
